round,colour,opponent,result,termination,init_s,moves,time_used_s,slowest_s,fastest_s,average_s,clock_left_s,machine,finished_at
Rated 51,Black,Ransom,Loss,Checkmate,34.2,87,143.3,6.6,0.0,1.6,20.1,w-77f393,2026-09-07T12:11:00.399066+00:00
Rated 50,Black,David Naylor,Win,Checkmate,39.9,85,150.3,7.3,0.0,1.8,12.2,w-3a623b,2026-09-07T11:12:23.438551+00:00
Rated 49,White,chimera,Win,Checkmate,39.8,71,134.3,5.7,0.0,1.9,21.2,w-aad8d8,2026-09-07T10:13:08.19014+00:00
Rated 48,White,jlu,Win,Checkmate,42.0,31,86.5,6.2,0.0,2.8,49.0,w-aad8d8,2026-09-07T09:13:46.280826+00:00
Rated 47,Black,Rudra,Win,Checkmate,40.8,37,99.4,8.6,0.0,2.7,39.1,w-d5b3ad,2026-09-07T08:16:48.981278+00:00
Rated 46,Black,Zagreus 5.0,Draw,Insufficient material,39.9,70,138.1,13.4,0.5,2.0,16.9,w-791165,2026-09-07T07:20:23.635047+00:00
Rated 45,White,OatMilk,Win,Checkmate,27.9,41,112.5,20.1,0.0,2.7,28.0,w-a8a74d,2026-09-06T21:19:27.445174+00:00
Rated 44,Black,Gambit,Loss,Checkmate,27.9,60,121.7,9.0,0.0,2.0,28.3,w-a8a74d,2026-09-06T20:16:45.923764+00:00
Rated 43,White,chimera,Loss,Checkmate,28.0,80,143.8,5.5,0.0,1.8,16.2,w-6272d4,2026-09-06T19:13:04.52215+00:00
Rated 42,Black,blundered my queen 💔,Win,Checkmate,27.7,48,110.5,6.2,0.0,2.3,33.5,w-efd8bb,2026-09-06T18:17:17.993095+00:00
Rated 41,White,jlu,Loss,Checkmate,26.5,39,106.7,9.0,0.0,2.7,32.8,w-0755a4,2026-09-06T17:12:13.971826+00:00
Rated 40,White,catfish,Loss,Checkmate,28.9,73,144.5,6.1,0.0,2.0,12.0,w-f7e9db,2026-09-06T16:13:00.706464+00:00
Rated 39,Black,Quant Larper,Win,Checkmate,27.7,80,146.5,7.5,0.0,1.8,13.5,w-91996f,2026-09-06T15:13:46.680083+00:00
Rated 38,White,krishthefish,Loss,Checkmate,28.7,67,134.3,6.1,0.0,2.0,19.2,w-554c68,2026-09-06T14:11:59.017329+00:00
Rated 37,Black,MeshPotato,Draw,Threefold repetition,28.1,73,144.3,7.2,0.3,2.0,12.2,w-ec11e6,2026-09-06T13:12:44.437747+00:00
Rated 36,Black,Binvengers,Win,Checkmate,27.7,39,99.7,10.5,0.0,2.6,39.8,w-d88909,2026-09-06T12:13:10.444452+00:00
Rated 35,White,zachFree-zone_sponsorPhanty,Draw,Threefold repetition,28.4,48,119.3,8.0,0.9,2.5,24.7,w-d07f0a,2026-09-06T11:12:37.308863+00:00
Rated 34,White,spring_week_converter,Win,Checkmate,67.2,46,120.4,10.3,0.0,2.6,22.6,w-91996f,2026-09-06T10:18:16.928953+00:00
Rated 33,Black,Milan,Win,Checkmate,70.3,67,137.0,8.1,0.0,2.0,16.5,w-066bb5,2026-09-06T09:13:40.848079+00:00
Rated 32,Black,OctaBasilissa,Loss,Checkmate,66.3,19,61.3,8.9,0.0,3.2,68.2,w-b3a6a9,2026-09-06T08:14:43.500681+00:00
Rated 31,White,Tobias Carlsen,Win,Checkmate,70.5,41,115.4,13.5,0.0,2.8,25.1,w-066bb5,2026-09-06T07:19:47.915359+00:00
Rated 30,Black,Bongcloud,Void,Unterminated,70.6,57,126.4,7.6,0.7,2.2,22.1,w-5ff11d,2026-09-05T21:17:28.871661+00:00
Rated 29,White,Fork 72,Win,Checkmate,70.6,59,127.0,6.6,0.0,2.2,22.5,w-a530fa,2026-09-05T20:18:29.890354+00:00
Rated 28,White,The Pershore Gambit,Loss,Checkmate,70.5,86,147.2,7.0,0.0,1.7,15.8,w-94f091,2026-09-05T19:16:59.191002+00:00
Rated 27,Black,OnlyBlunder,Win,Checkmate,70.7,47,110.0,5.1,0.0,2.3,33.5,w-9d34f8,2026-09-05T18:16:20.517326+00:00
Rated 26,Black,Yumo,Loss,Checkmate,71.1,48,115.6,7.9,0.0,2.4,28.4,w-9d34f8,2026-09-05T17:16:30.025312+00:00
Rated 25,White,QueenC4,Loss,Checkmate,70.5,14,50.4,6.8,0.0,3.6,76.6,w-881195,2026-09-05T16:12:14.715751+00:00
Rated 24,White,David Naylor,Loss,Checkmate,70.5,61,131.6,9.7,0.0,2.2,18.9,w-228221,2026-09-05T15:12:58.071241+00:00
Rated 23,Black,Blunder Buss,Loss,Checkmate,70.5,39,109.3,16.2,0.1,2.8,30.2,w-107c3c,2026-09-05T14:10:42.913116+00:00
Rated 22,Black,Elbow Grease,Win,Checkmate,70.6,43,111.8,9.2,0.0,2.6,29.7,w-d22609,2026-09-05T13:13:04.084241+00:00
Rated 21,White,TensorTortoise,Win,Checkmate,70.5,46,107.9,4.7,0.0,2.3,35.1,w-b48b8c,2026-09-05T12:14:41.444843+00:00
Rated 20,White,Johnny's Sins,Win,Checkmate,0.5,41,103.3,8.4,0.0,2.5,37.2,w-6ad781,2026-09-05T11:13:10.158969+00:00
Rated 19,Black,darKnight,Loss,Checkmate,0.5,62,130.9,6.6,0.0,2.1,20.1,w-c53946,2026-09-05T10:14:00.757167+00:00
Rated 18,Black,SaucyBeans,Loss,Checkmate,0.6,62,128.1,6.6,0.1,2.1,22.9,w-7fd4a4,2026-09-05T09:12:12.290318+00:00
Rated 17,White,The Good Boys,Win,Checkmate,0.6,27,94.4,15.6,0.0,3.5,39.1,w-bc3a48,2026-09-05T08:12:33.707046+00:00
Rated 16,Black,Magnus.AI,Win,Checkmate,0.6,33,85.7,5.8,0.0,2.6,50.8,w-15a8e4,2026-09-05T07:19:38.022478+00:00
Rated 15,White,HighestElo,Void,Unterminated,0.5,28,87.7,8.1,1.4,3.1,46.3,w-909a54,2026-09-04T21:17:51.98432+00:00
Rated 14,Black,Sunfish,Void,Unterminated,0.5,54,128.7,6.5,0.7,2.4,18.3,w-4c9a83,2026-09-04T20:19:01.819331+00:00
Rated 13,Black,Shallow Blue 2.0,Win,Checkmate,0.5,48,116.8,6.4,0.0,2.4,27.2,w-4c9a83,2026-09-04T19:18:40.702685+00:00
Rated 12,White,Thorp,Void,Unterminated,0.4,56,128.4,6.8,0.6,2.3,19.6,w-940ac8,2026-09-04T18:18:37.233393+00:00
Rated 11,White,Baryon,Loss,Checkmate,0.6,56,121.7,6.5,0.0,2.2,26.3,w-a99c3d,2026-09-04T17:17:47.909099+00:00
Rated 10,White,AI < human,Loss,Checkmate,0.6,38,105.7,12.4,0.0,2.8,33.3,w-2b4afc,2026-09-04T16:14:12.885507+00:00
Rated 9,Black,"Atheon, Time's Conflux",Void,Unterminated,,65,134.4,8.9,0.5,2.1,18.1,w-aed3b9,2026-09-04T15:14:31.178829+00:00
Rated 8,Black,Dominated Horses,Loss,Checkmate,,47,119.0,7.8,0.0,2.5,24.5,w-b1bbdd,2026-09-04T14:22:37.480817+00:00
Rated 7,White,berserker,Win,Checkmate,,54,121.2,7.1,0.0,2.2,25.8,w-aed3b9,2026-09-04T13:25:54.465426+00:00
Rated 6,White,Hanging Pawns,Win,Checkmate,,70,137.7,12.8,0.0,2.0,17.3,w-82c5b3,2026-09-04T12:29:37.743404+00:00
Rated 5,Black,jlu,Loss,Checkmate,,57,128.2,5.1,0.6,2.2,20.3,w-aed3b9,2026-09-04T11:24:01.847913+00:00
Rated 4,White,Pawn Stars En Peasants,Void,Unterminated,,21,84.1,7.9,2.1,4.0,46.4,w-b1bbdd,2026-09-04T10:21:26.493751+00:00
Rated 3,Black,Chesstosterone,Win,Checkmate,,26,84.9,7.6,1.7,3.3,48.1,w-69d466,2026-09-04T09:24:43.34912+00:00
Rated 2,Black,while True: win(),Void,Unterminated,,17,62.6,5.6,2.0,3.7,65.9,w-1f05bc,2026-09-04T08:20:54.798325+00:00
Rated 1,White,limlamlom,Void,Unterminated,,30,96.8,5.9,1.5,3.2,38.2,w-bf0e55,2026-09-04T07:08:32.745082+00:00
